student_id,focus_index,burnout_level,productivity_score,exam_score
1278,10.69,38.43,5.47,1.0
1784,7.24,43.11,7.79,6.23
3106,35.42,13.03,38.16,29.79
447,30.93,27.71,32.93,22.14
881,31.35,29.28,38.37,28.48
4460,25.9,27.34,30.92,18.28
782,27.68,52.23,35.36,22.83
1750,25.11,65.19,38.24,20.93
3389,39.76,33.4,60.0,37.36
4882,25.84,32.83,32.51,18.67
884,20.75,36.86,12.01,7.26
2945,26.74,36.69,52.88,25.34
1092,30.06,31.91,39.98,23.63
4784,29.43,19.15,48.7,33.15
532,35.72,51.11,35.26,22.59
4023,15.9,61.76,1.0,1.0
4422,41.19,28.02,64.26,42.28
4099,31.58,41.98,33.22,23.05
1728,38.95,23.02,57.75,37.36
611,33.31,59.74,35.01,25.76
571,31.84,58.67,26.94,9.0
2672,32.15,60.26,35.83,20.51
3719,7.61,35.4,8.3,1.0
344,38.13,23.71,63.52,40.69
3001,35.07,9.83,45.65,37.15
3140,32.55,53.18,61.78,32.47
435,37.54,25.85,36.46,34.2
1904,32.86,46.06,49.59,27.66
3805,25.48,52.19,30.83,5.93
4777,19.52,55.96,17.48,6.4
2070,11.69,53.14,21.6,5.69
1538,41.59,56.49,53.41,23.17
2253,35.27,57.3,39.39,30.63
2347,17.39,27.25,28.49,7.34
1518,21.9,44.51,33.96,15.63
966,45.98,37.02,46.73,35.12
4407,35.19,53.84,62.79,34.83
529,32.93,28.76,62.67,39.59
177,29.55,68.36,28.78,12.2
3483,15.25,72.37,8.62,1.0
2544,11.67,33.48,27.74,15.04
4936,40.71,49.34,63.08,34.93
573,15.06,51.26,23.59,6.75
2300,42.08,53.92,46.74,22.24
3509,22.45,48.63,32.76,21.72
2460,28.95,51.38,28.72,11.88
3610,22.77,51.49,21.7,8.37
4555,33.4,47.26,48.85,31.52
2209,42.12,74.73,58.17,22.59
4721,41.1,59.9,44.22,15.05
2756,22.27,41.23,28.18,14.25
384,16.11,41.53,19.79,1.0
853,19.81,25.27,22.95,9.39
1881,30.91,41.66,19.83,16.92
371,40.51,24.56,78.31,45.74
2379,27.51,48.49,45.84,25.63
4324,25.23,55.53,28.7,2.5
1106,58.08,25.29,75.81,51.69
3414,15.03,32.76,23.43,1.69
3947,14.93,39.72,19.16,5.5
1337,22.71,43.79,36.58,13.22
2190,18.5,55.45,13.34,1.74
4595,26.74,60.36,29.44,12.55
2320,50.18,34.46,85.9,48.77
4706,32.35,28.65,48.24,28.68
3711,25.68,61.82,36.25,10.66
4849,10.12,48.45,9.7,1.0
1172,18.29,41.89,16.66,6.29
4326,44.48,48.64,81.16,51.35
2695,35.71,57.11,48.06,24.16
1423,43.79,23.52,62.52,41.75
2342,20.08,35.64,44.62,14.77
2652,12.04,46.39,9.42,1.0
4156,24.09,48.95,30.24,13.95
1465,47.7,59.15,50.27,24.36
875,21.08,21.15,31.21,20.51
3340,10.88,61.06,9.91,1.0
4341,18.47,80.37,38.3,1.0
1252,29.08,45.47,58.25,30.91
2349,28.29,31.75,41.42,19.34
841,31.32,55.54,46.61,19.25
4569,49.1,66.2,56.04,21.03
582,52.29,59.22,57.32,28.35
205,47.02,54.94,48.74,26.29
1642,51.1,37.6,67.34,41.03
2015,30.96,42.66,58.14,31.39
906,27.45,16.95,48.44,28.35
632,39.67,38.5,55.0,33.72
3365,36.1,55.68,59.52,32.36
1975,50.0,51.4,68.11,41.22
163,38.04,50.14,44.72,23.91
3173,31.83,43.35,30.07,25.16
3613,31.23,48.11,36.23,19.88
4676,5.5,33.02,23.14,1.59
618,33.34,24.13,53.33,42.66
4069,24.04,31.52,32.03,19.82
1432,41.21,31.4,74.99,34.91
548,28.58,39.47,15.11,22.04
3335,30.06,75.08,42.2,18.18
4547,15.83,85.0,10.63,1.0
4224,33.15,42.74,53.65,23.82
2388,28.43,41.8,50.89,24.83
4244,30.68,48.46,32.4,15.17
3996,18.49,76.01,16.49,1.0
4066,27.9,45.37,29.2,25.33
1862,25.08,53.24,37.77,11.93
641,35.85,63.18,48.69,20.23
3903,28.86,53.91,28.79,10.73
638,26.33,80.1,13.56,2.67
4263,36.71,59.88,35.92,18.34
3911,31.41,61.47,20.01,5.88
2987,37.95,51.04,56.65,26.89
2097,21.9,37.87,37.71,20.95
4612,19.08,80.58,31.35,15.62
3076,10.99,48.08,5.94,1.0
3675,25.63,12.84,42.47,25.72
2842,22.71,35.32,41.1,29.24
922,37.16,41.51,67.03,33.39
547,36.65,48.97,47.24,24.76
3667,38.1,37.82,52.11,31.05
1901,28.83,43.26,47.54,30.0
2029,40.4,35.0,74.58,49.68
2302,25.31,33.77,20.85,16.94
1886,33.9,59.08,30.54,8.94
1643,33.47,37.82,57.77,27.52
3510,37.43,33.56,39.17,20.38
4810,26.12,55.41,41.12,12.08
2098,54.95,27.69,75.42,52.6
4358,39.06,39.58,52.21,22.86
3789,22.63,66.35,31.38,8.03
4495,26.49,61.9,35.09,12.96
4968,38.91,32.61,51.1,32.3
837,16.54,55.56,8.72,1.0
602,47.94,63.22,52.72,36.52
2185,25.64,46.63,14.58,5.16
3866,20.55,60.24,17.98,8.67
2482,29.89,40.34,52.15,29.48
4308,30.34,43.08,37.81,16.86
1583,34.42,42.17,58.46,31.2
4267,24.89,31.84,28.71,14.44
2534,19.97,54.55,5.76,3.75
2726,29.73,58.62,28.33,1.74
1071,33.0,49.12,21.31,10.1
1776,43.95,29.79,67.68,43.51
4809,23.67,36.8,40.91,13.24
1284,36.9,22.01,66.32,39.87
3051,29.68,33.63,63.41,31.47
4754,40.98,61.65,57.06,34.87
1837,28.99,34.09,40.81,17.67
4243,24.89,37.48,26.65,12.12
1020,32.57,33.54,51.71,33.17
4134,34.21,43.43,32.97,15.7
1327,30.6,55.66,39.17,9.78
476,23.9,55.19,14.45,1.0
4272,18.25,36.71,12.69,4.46
1652,28.47,49.98,43.98,13.57
3999,25.53,30.3,33.89,18.51
4468,41.32,69.78,38.64,9.15
2611,44.96,42.71,55.11,30.96
2477,22.57,63.07,12.47,2.57
2584,22.43,68.95,30.7,13.21
1374,39.38,72.62,49.42,18.27
740,23.15,48.75,28.98,11.07
3619,18.41,32.96,24.35,2.81
2441,31.53,31.4,64.89,40.51
868,32.68,50.7,36.6,18.45
1141,25.85,30.16,24.77,8.42
998,20.05,55.8,29.61,17.76
1338,43.76,56.29,64.68,39.56
542,15.22,57.37,14.18,12.85
1100,14.72,39.11,17.15,10.26
1133,35.73,48.34,50.78,30.49
4065,32.47,41.27,40.48,27.75
2716,25.71,35.46,19.21,9.08
2259,9.32,52.0,1.0,1.0
4751,35.81,32.72,53.79,30.98
60,39.46,49.23,39.34,22.49
2884,42.54,67.34,50.19,27.26
1939,25.82,52.54,22.61,5.85
2577,32.35,37.24,44.92,18.19
4937,26.69,36.62,24.45,16.89
1079,32.04,30.41,52.56,28.41
3250,27.15,45.94,39.03,23.78
3128,41.16,50.64,64.73,37.89
2489,41.88,25.86,58.94,38.83
941,38.2,32.89,53.44,29.33
1081,31.09,13.81,55.59,45.25
188,33.86,60.84,42.53,15.86
2635,25.04,35.48,37.81,19.78
2086,25.08,37.61,44.71,21.79
2250,27.71,33.78,44.73,24.87
4891,35.85,46.34,41.17,30.62
2024,36.88,50.9,52.78,36.65
3540,17.15,56.17,25.14,4.43
4049,38.09,46.51,32.73,13.49
3607,22.94,52.94,53.14,14.76
227,24.1,28.09,29.97,13.4
4848,54.12,54.95,59.88,36.11
1930,23.11,47.08,30.13,2.45
3056,10.01,40.01,14.4,1.0
4490,45.26,60.42,48.37,22.67
1405,21.57,36.49,35.97,18.67
2180,16.65,34.36,8.77,1.0
698,47.15,23.6,78.91,53.3
1125,35.65,54.78,30.85,20.77
3362,20.67,24.76,25.61,14.53
4136,39.84,37.29,56.09,34.84
1779,20.82,54.05,24.69,8.82
2859,25.49,68.88,20.59,5.75
1038,23.74,49.93,12.27,1.77
4457,24.22,37.84,45.17,19.5
2257,27.52,47.37,29.44,19.66
314,35.19,35.66,42.09,28.62
2282,29.44,33.23,34.73,18.26
1417,26.22,28.7,36.24,17.1
1037,31.19,38.2,43.2,17.78
2160,19.55,61.42,24.99,1.0
4164,40.29,53.95,44.21,17.94
1755,12.58,42.57,34.02,18.63
3113,32.56,38.18,40.89,19.46
2814,24.65,58.09,38.87,10.39
2699,39.44,45.5,54.52,31.19
3208,38.9,41.15,55.63,39.66
4351,12.76,69.78,4.88,1.0
3432,35.35,32.01,45.58,22.49
1507,27.74,42.85,32.71,9.06
1924,33.63,67.84,38.1,19.32
449,29.45,28.31,55.67,28.39
4129,16.8,57.01,21.78,1.0
2529,25.46,43.69,19.32,3.38
4970,27.42,48.96,32.56,22.33
2790,27.11,32.75,39.73,22.2
362,38.71,65.81,56.77,24.31
2184,20.32,64.77,25.85,2.64
1135,30.05,81.06,22.19,2.4
3881,40.81,68.02,39.48,11.15
2156,36.49,19.85,67.44,35.92
1831,32.15,58.99,39.07,17.46
1054,40.96,55.9,51.58,26.12
23,42.45,28.98,62.96,33.52
2067,32.5,35.43,35.76,24.31
1654,30.52,63.11,32.68,15.06
2588,33.83,54.43,45.64,19.16
3211,32.85,32.48,57.99,36.56
4303,38.14,48.84,40.58,19.46
4037,13.23,40.12,10.94,6.32
2326,23.84,28.8,35.04,18.76
461,36.1,60.53,40.16,24.34
1068,22.3,48.18,42.51,10.29
88,39.69,35.67,40.46,26.92
1431,37.05,17.42,56.7,35.76
2648,52.3,28.63,74.11,49.93
283,56.1,46.7,61.91,43.1
463,26.8,44.59,35.19,15.04
213,36.34,51.68,57.26,32.18
2500,26.92,23.37,38.83,16.57
1369,9.34,47.53,5.01,1.0
235,13.91,45.79,19.93,1.0
2771,29.58,55.29,16.36,1.96
598,18.0,61.35,19.73,1.0
4421,40.87,32.58,57.31,28.26
2251,32.26,33.67,45.42,22.9
4032,30.06,43.58,36.35,13.57
2284,35.99,35.82,34.96,20.96
663,33.24,54.02,37.71,21.41
4964,28.37,55.32,19.44,3.18
2286,17.35,41.64,27.5,12.98
4717,23.7,38.51,27.6,29.47
3194,20.15,18.49,34.92,22.66
2504,11.54,60.49,6.92,1.0
4044,22.82,55.37,12.86,1.0
780,1.0,67.73,1.0,1.0
4020,32.79,58.05,40.2,23.99
3427,17.82,59.26,22.24,12.18
4307,30.1,33.75,23.65,16.77
3197,5.58,47.99,5.15,1.42
4836,31.43,58.23,27.01,14.43
686,26.04,67.8,26.58,13.24
3170,25.92,45.55,41.73,16.95
3927,31.55,41.38,45.17,30.48
3435,52.2,32.56,73.15,46.31
2172,34.17,30.58,55.32,23.41
3690,46.06,30.63,62.66,32.45
1851,31.63,23.79,35.02,13.6
488,44.21,33.51,40.46,28.56
1689,48.7,41.75,58.09,47.96
2231,20.68,41.8,38.92,22.14
3265,38.28,57.77,56.32,30.43
2321,29.24,48.9,28.56,13.84
783,33.58,31.17,60.83,35.23
522,33.0,70.08,30.35,9.5
523,10.99,47.96,11.99,1.0
2838,46.28,53.07,59.19,44.0
4540,24.91,52.3,37.77,12.96
2399,34.01,14.74,29.67,19.26
2208,29.21,61.38,20.43,1.5
3478,26.54,52.1,24.59,6.35
3553,41.18,49.18,65.1,37.83
4088,30.7,46.28,42.5,18.24
2823,48.52,46.54,66.62,33.22
1512,39.84,49.89,51.81,24.85
1883,37.92,51.6,59.04,29.0
652,33.33,69.48,34.2,18.95
4931,13.96,74.31,8.2,1.0
3090,29.43,64.99,41.43,15.51
370,36.11,58.39,52.64,27.81
4998,23.85,47.72,41.09,27.89
119,30.92,32.5,56.08,34.13
3321,20.47,48.38,23.3,10.97
3035,42.05,51.73,58.7,37.59
2217,25.64,61.09,33.34,2.2
3543,27.13,97.58,17.83,1.0
1614,27.38,42.93,36.54,3.76
3152,19.21,56.19,26.5,9.77
963,40.9,54.91,28.87,14.03
2511,34.47,25.77,72.35,31.0
3832,22.01,44.57,21.28,11.84
2824,29.59,40.83,27.41,1.0
4344,26.07,41.21,21.97,9.89
3033,26.68,36.8,39.9,22.41
2416,42.08,46.87,66.12,42.01
4655,20.97,43.22,26.43,1.0
4237,26.33,81.53,12.83,1.33
2186,13.86,58.0,47.25,20.98
3670,19.63,69.25,14.46,1.0
2038,22.91,52.16,36.88,10.17
4363,10.94,74.16,1.0,1.0
773,20.84,56.12,27.68,2.94
1285,17.08,63.28,16.76,7.52
4604,44.03,31.37,66.7,41.76
4795,46.48,47.04,32.48,16.1
1415,21.28,60.79,13.15,3.51
1235,26.12,34.27,31.58,20.21
2700,26.7,41.53,42.89,19.09
436,34.08,35.78,53.35,35.31
1675,19.34,30.84,34.56,24.73
366,27.91,24.38,42.82,15.11
2650,27.22,35.55,35.93,12.22
232,47.33,28.87,69.14,42.81
4268,40.57,45.34,43.1,16.69
4042,18.42,61.01,2.92,1.0
4400,13.64,25.91,19.5,11.79
408,28.47,37.9,44.49,18.75
2091,36.43,32.63,41.27,26.81
87,22.56,30.24,33.13,7.94
845,27.32,44.45,31.13,22.71
1032,36.91,54.92,47.18,20.58
2856,37.41,51.93,60.07,31.97
4110,50.56,54.41,71.39,36.11
4397,33.33,58.05,50.56,24.08
3894,26.06,49.95,42.91,15.08
2659,10.23,36.85,5.48,1.0
856,13.5,48.7,15.03,5.76
79,16.38,47.36,23.07,1.07
2248,31.34,35.81,44.98,28.53
4571,18.71,52.46,36.53,8.01
3657,18.29,34.96,34.77,11.07
4152,31.46,42.61,42.8,22.92
3379,31.17,46.61,30.55,12.71
2280,25.63,29.14,33.32,17.52
2599,26.14,29.23,57.57,41.34
4160,15.95,39.36,19.51,1.0
3871,31.91,72.63,35.25,15.95
3429,17.36,54.44,12.74,1.0
2177,23.55,40.06,25.34,14.2
425,30.74,29.17,30.33,21.24
393,20.73,40.18,25.93,1.64
4727,26.8,78.69,29.47,3.12
3694,36.88,55.41,36.1,21.09
105,10.48,31.9,1.0,1.0
3995,28.51,34.75,32.1,21.81
4413,14.8,60.4,22.4,6.75
1949,35.32,49.65,49.88,29.15
1460,28.29,44.76,61.06,33.35
3258,24.67,50.49,21.27,6.26
2804,28.31,32.95,50.68,28.48
2707,33.25,58.77,43.88,16.39
4790,20.73,54.7,14.43,3.7
1588,19.25,72.26,26.54,10.59
3660,32.17,50.58,43.94,24.28
1732,25.49,55.35,33.01,18.61
4765,45.55,57.44,66.1,34.22
4225,45.83,49.05,48.17,31.94
3682,37.5,49.13,46.79,26.96
1792,44.6,53.94,65.75,34.54
2356,3.73,54.4,1.0,1.0
1941,4.41,76.46,1.0,1.0
703,40.23,40.65,64.85,29.51
2443,10.18,53.27,7.58,1.0
4376,23.53,40.95,45.11,22.68
497,27.32,38.48,39.32,21.21
465,13.21,74.06,24.06,1.0
4072,50.17,50.09,67.34,47.95
4334,20.8,37.04,1.0,1.0
173,38.28,67.06,46.57,28.2
4944,23.37,46.3,32.46,7.47
4797,35.96,51.13,39.98,25.33
2541,34.85,61.83,44.24,16.23
3263,24.15,37.66,26.84,13.88
4681,31.83,57.08,36.66,15.56
2261,19.12,42.03,26.23,9.05
2113,29.17,38.12,29.83,23.46
901,37.29,53.38,35.82,23.61
1447,33.11,54.51,37.41,10.28
3574,25.19,36.6,51.56,24.54
742,18.15,46.79,16.89,2.97
2294,35.51,44.3,32.88,20.46
2453,31.55,50.03,25.06,13.5
2623,24.64,37.01,29.89,10.52
4079,43.26,23.19,61.79,44.16
1207,24.28,65.11,20.46,7.18
510,35.66,49.1,25.68,18.29
2621,40.24,49.8,37.82,16.35
2803,11.61,41.99,31.22,1.0
3314,36.36,46.34,51.35,27.69
1550,52.58,32.17,64.5,38.74
4564,24.06,58.11,38.3,25.65
2203,41.53,37.16,51.75,27.67
2567,23.94,55.91,42.4,20.21
3893,27.17,21.65,48.85,23.31
2045,23.39,39.62,35.47,12.49
768,27.99,43.77,48.24,18.11
4873,30.97,59.16,31.99,15.88
3739,40.05,35.08,41.59,22.95
422,37.74,45.83,55.06,29.41
124,44.66,51.04,48.11,34.56
4163,30.11,30.35,32.18,16.76
2629,34.92,39.5,45.38,21.83
820,43.52,61.95,65.42,31.76
1404,18.9,42.5,23.95,5.62
1383,25.48,36.6,19.73,14.42
2149,38.75,52.53,50.74,17.56
1576,37.09,52.24,29.76,19.53
1639,32.74,43.57,39.95,18.5
1796,39.21,31.49,53.7,21.67
4816,34.57,37.67,48.77,24.62
400,32.96,37.39,60.88,37.52
2311,31.4,37.92,34.89,21.07
883,23.64,44.22,25.14,14.02
4974,24.71,67.42,37.78,15.05
2898,15.13,53.79,15.64,7.24
1353,30.9,37.84,43.14,31.1
2743,31.1,43.34,31.17,19.04
4551,17.37,84.69,14.58,1.41
2131,8.08,43.63,20.27,12.87
983,32.44,37.75,66.98,41.84
457,29.16,51.66,17.07,1.0
4120,16.99,33.2,26.95,9.41
1080,34.67,57.69,67.56,32.54
1951,38.41,36.41,58.27,37.75
4315,21.94,37.54,15.14,5.23
690,42.87,46.99,53.07,27.8
2430,41.37,29.71,68.08,36.8
642,24.29,39.72,31.89,13.72
2393,20.7,45.78,29.35,8.96
1954,56.95,34.53,72.79,41.56
2749,23.73,38.64,30.44,17.01
4314,21.21,42.78,28.52,6.76
3436,30.59,34.39,43.62,15.58
3337,23.27,50.09,24.09,9.55
4767,25.73,46.6,25.39,12.22
3371,29.36,29.37,35.22,25.47
1885,11.15,46.76,1.11,1.0
390,42.59,22.89,63.41,49.11
2495,39.77,47.97,36.23,16.52
3879,25.33,43.28,51.06,26.9
3857,39.65,62.9,51.6,21.94
846,23.65,62.89,8.48,1.0
543,6.73,31.84,1.0,2.58
92,33.95,13.38,41.01,22.94
3890,20.99,57.32,24.25,5.27
1980,20.6,38.66,31.24,16.72
2813,33.92,70.54,27.86,12.44
4083,14.51,26.45,16.95,4.99
2903,7.37,63.48,1.0,1.0
2530,35.76,43.83,56.45,30.84
1677,28.71,42.29,24.73,1.82
1049,39.56,36.13,69.22,53.57
1961,28.85,57.67,30.36,15.4
2531,29.57,48.55,31.94,15.71
3993,30.71,56.01,37.26,12.67
238,28.32,62.41,35.13,11.95
3098,17.02,40.71,29.73,12.76
3489,33.74,37.42,49.29,30.2
1134,42.03,46.97,59.79,22.52
1806,9.56,65.05,3.52,1.0
4318,28.29,36.54,30.8,12.53
164,36.3,29.65,58.39,34.85
3493,37.47,78.59,20.61,6.17
4710,30.75,18.24,43.61,33.76
4631,20.68,28.33,33.48,15.64
3454,30.35,39.85,51.39,23.38
3200,47.55,56.65,59.57,34.54
3635,34.03,41.92,49.5,24.11
3940,29.02,39.92,19.91,11.9
1812,21.69,49.02,33.04,10.28
3650,36.45,26.67,54.23,33.98
4050,31.02,53.1,33.06,14.26
1429,34.8,26.73,86.22,52.22
3614,31.8,38.42,34.28,13.24
3132,30.35,32.41,47.17,18.48
3397,14.45,62.33,13.24,1.96
4461,24.33,28.98,62.18,35.68
4650,26.66,31.14,37.89,11.1
2821,45.74,51.68,57.75,24.91
1453,20.82,46.39,25.4,8.84
594,34.61,60.49,43.88,22.06
42,12.74,52.2,1.0,1.0
561,36.19,36.84,46.0,32.6
3274,25.64,42.69,30.7,22.97
3245,28.64,56.7,30.4,15.36
244,24.8,29.84,42.95,8.32
1340,14.28,19.36,26.2,9.58
2781,41.97,53.76,59.46,26.91
3188,9.98,10.41,12.99,8.96
3800,27.37,50.78,43.93,15.05
1443,27.27,84.16,25.17,7.13
262,49.89,41.17,64.89,41.9
2765,44.52,48.08,48.38,29.08
1690,29.75,19.41,54.51,32.88
1726,14.34,55.5,1.0,1.0
4793,34.98,50.94,55.79,34.51
835,53.21,51.47,84.8,43.24
1867,25.69,46.43,34.98,9.54
2497,39.05,67.14,43.51,11.42
2011,32.28,58.06,35.4,15.09
341,32.11,24.83,68.48,42.98
2989,43.33,50.73,54.06,37.19
1602,25.01,42.41,34.9,14.53
3876,49.94,29.88,73.61,60.85
4695,16.92,48.26,16.4,16.18
481,20.41,34.88,10.96,2.91
2826,43.62,25.62,64.57,45.11
4330,35.77,43.02,51.65,29.91
3541,36.56,70.28,39.83,16.24
4639,36.42,23.44,36.06,14.82
3047,32.84,42.59,54.0,20.96
3991,33.03,33.78,40.85,23.11
1767,21.8,52.46,19.29,1.0
4474,39.44,34.61,70.33,41.45
2454,22.16,38.59,21.04,19.37
